"","Tank","Temperature","Conductivity","Free_Chlorine","Total_Chlorine","Sample_Type","Naegleria_spp","Naegleria_fowleri","Acanthamoeba_spp","NTM","Legionella_spp"
"1","RRTLHL",12,56,0.57,0.69,"bulk_water","NEG","NEG","NEG","POS","NEG"
"2","RRTLHL",12,56,0.57,0.69,"bulk_water","NEG","NEG","NEG","POS","NEG"
"3","RRTLHL",12,56,0.57,0.69,"sediment","NEG","NEG","NEG","NEG","NEG"
"4","RRTLHL",12,56,0.57,0.69,"bulk_water","NEG","NEG","NEG","POS","NEG"
"5","RRTLHL",12,56,0.57,0.69,"sediment","NEG","NEG","NEG","NEG","NEG"
"6","WT",12.5,55,0.96,1.19,"bulk_water","NEG","NEG","NEG","POS","NEG"
"7","WT",12.5,55,0.96,1.19,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"8","WT",12.5,55,0.96,1.19,"sediment","NEG","NEG","POS","NEG","NEG"
"9","WT",12.5,55,0.96,1.19,"sediment","NEG","NEG","POS","POS","NEG"
"10","WT",12.5,55,0.96,1.19,"bulk_water","NEG","NEG","NEG","POS","NEG"
"11","WT",12.5,55,0.96,1.19,"sediment","NEG","NEG","NEG","POS","NEG"
"12","WWRT",16.5,69,0.76,0.87,"sediment","NEG","NEG","NEG","POS","NEG"
"13","WWRT",16.5,69,0.76,0.87,"bulk_water","NEG","NEG","NEG","POS","NEG"
"14","WWRT",16.5,69,0.76,0.87,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"15","WWRT",16.5,69,0.76,0.87,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"16","WWRT",16.5,69,0.76,0.87,"sediment","NEG","NEG","NEG","NEG","NEG"
"17","WWRT",16.5,69,0.76,0.87,"sediment","NEG","NEG","NEG","NEG","NEG"
"18","CT",16,70,0.91,1.09,"sediment","NEG","NEG","NEG","POS","NEG"
"19","CT",16,70,0.91,1.09,"sediment","NEG","NEG","NEG","POS","NEG"
"20","CT",16,70,0.91,1.09,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"21","CT",16,70,0.91,1.09,"bulk_water","N. dobsoni","NEG","NEG","POS","NEG"
"22","CT",16,70,0.91,1.09,"bulk_water","NEG","NEG","NEG","POS","NEG"
"23","CT",16,70,0.91,1.09,"sediment","NEG","NEG","NEG","NEG","NEG"
"24","WTT",19.5,69,0.78,0.96,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"25","WTT",19.5,69,0.78,0.96,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"26","WTT",19.5,69,0.78,0.96,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"27","WTT",19.5,69,0.78,0.96,"sediment","NEG","NEG","POS","NEG","NEG"
"28","WTT",19.5,69,0.78,0.96,"sediment","NEG","NEG","NEG","NEG","NEG"
"29","WTT",19.5,69,0.78,0.96,"sediment","NEG","NEG","NEG","NEG","NEG"
"30","AT",17,69,0.65,0.84,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"31","AT",17,69,0.65,0.84,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"32","AT",17,69,0.65,0.84,"bulk_water","NEG","NEG","NEG","POS","NEG"
"33","AT",17,69,0.65,0.84,"sediment","N. andersoni","NEG","NEG","POS","NEG"
"34","AT",17,69,0.65,0.84,"sediment","N. andersoni","NEG","NEG","POS","NEG"
"35","AT",17,69,0.65,0.84,"sediment","N. andersoni","NEG","POS","POS","NEG"
"36","FRT",18.5,82,0.64,0.69,"bulk_water","NEG","NEG","NEG","POS","NEG"
"37","FRT",18.5,82,0.64,0.69,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"38","FRT",18.5,82,0.64,0.69,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"39","FRT",18.5,82,0.64,0.69,"sediment","TA","NEG","NEG","POS","NEG"
"40","FRT",18.5,82,0.64,0.69,"sediment","NEG","NEG","NEG","POS","NEG"
"41","FRT",18.5,82,0.64,0.69,"sediment","NEG","NEG","NEG","POS","NEG"
"42","RRT",13,53,0.64,0.68,"bulk_water","NEG","NEG","NEG","POS","NEG"
"43","RRT",13,53,0.64,0.68,"bulk_water","NEG","NEG","POS","POS","NEG"
"44","RRT",13,53,0.64,0.68,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"45","RRT",13,53,0.64,0.68,"sediment","TA","NEG","POS","POS","NEG"
"46","RRT",13,53,0.64,0.68,"sediment","NEG","NEG","NEG","POS","NEG"
"47","RRT",13,53,0.64,0.68,"sediment","NEG","NEG","POS","POS","NEG"
"48","CRT",16.5,48,0.96,0.99,"bulk_water","NEG","NEG","NEG","NEG","NEG"
"49","CRT",16.5,48,0.96,0.99,"bulk_water","NEG","NEG","NEG","POS","NEG"
"50","CRT",16.5,48,0.96,0.99,"bulk_water","NEG","NEG","POS","NEG","NEG"
"51","CRT",16.5,48,0.96,0.99,"sediment","Tetramitus & Vahlkampfia","NEG","NEG","POS","NEG"
"52","CRT",16.5,48,0.96,0.99,"sediment","TA","NEG","POS","POS","NEG"
"53","CRT",16.5,48,0.96,0.99,"sediment","N. andersoni","NEG","POS","POS","NEG"
